fips,week,n_vax,n_response,p_fb,week_rank
1025,2021-05-16,3,10,0.3,8
1025,2021-05-23,8,8,1,9
1025,2021-05-30,2,4,0.5,10
1027,2021-03-28,0,1,0,1
1027,2021-04-04,0,1,0,2
1027,2021-04-11,3,7,0.42857142857142855,3
1027,2021-04-18,4,5,0.8,4
1027,2021-04-25,1,2,0.5,5
1027,2021-05-02,1,2,0.5,6
1027,2021-05-09,4,4,1,7
1027,2021-05-16,1,1,1,8
1027,2021-05-23,4,4,1,9
1029,2021-04-04,1,8,0.125,2
1029,2021-04-11,1,4,0.25,3
1029,2021-04-18,4,4,1,4
1029,2021-04-25,0,2,0,5
1029,2021-05-02,0,2,0,6
1029,2021-05-09,0,3,0,7
1029,2021-05-16,0,1,0,8
1029,2021-05-23,0,2,0,9
1029,2021-05-30,1,1,1,10
1031,2021-03-28,10,17,0.5882352941176471,1
1031,2021-04-04,22,38,0.5789473684210527,2
1031,2021-04-11,21,41,0.5121951219512195,3
1031,2021-04-18,13,21,0.6190476190476191,4
1031,2021-04-25,16,25,0.64,5
1031,2021-05-02,31,37,0.8378378378378378,6
1031,2021-05-09,15,25,0.6,7
1031,2021-05-16,15,25,0.6,8
1031,2021-05-23,10,24,0.4166666666666667,9
1031,2021-05-30,2,8,0.25,10
1033,2021-03-28,9,17,0.5294117647058824,1
1033,2021-04-04,14,25,0.56,2
1033,2021-04-11,7,14,0.5,3
1033,2021-04-18,23,27,0.8518518518518519,4
1033,2021-04-25,15,31,0.4838709677419355,5
1033,2021-05-02,7,15,0.4666666666666667,6
1033,2021-05-09,15,22,0.6818181818181818,7
1033,2021-05-16,13,18,0.7222222222222222,8
1033,2021-05-23,15,20,0.75,9
1033,2021-05-30,4,7,0.5714285714285714,10
1035,2021-03-28,2,2,1,1
1035,2021-04-04,5,7,0.7142857142857143,2
1035,2021-04-11,0,8,0,3
1035,2021-04-18,2,3,0.6666666666666666,4
1035,2021-04-25,3,3,1,5
1035,2021-05-02,5,5,1,6
1035,2021-05-09,0,1,0,7
1035,2021-05-16,3,3,1,8
1035,2021-05-23,3,3,1,9
1035,2021-05-30,1,1,1,10
1037,2021-03-28,1,2,0.5,1
1037,2021-04-04,2,2,1,2
1037,2021-04-11,4,6,0.6666666666666666,3
1037,2021-04-18,1,6,0.16666666666666666,4
1037,2021-04-25,1,2,0.5,5
1037,2021-05-02,0,2,0,6
1037,2021-05-09,3,5,0.6,7
1037,2021-05-16,0,2,0,8
1037,2021-05-23,0,1,0,9
1037,2021-05-30,0,1,0,10
1039,2021-03-28,3,6,0.5,1
1039,2021-04-04,16,30,0.5333333333333333,2
1039,2021-04-11,8,25,0.32,3
1039,2021-04-18,11,18,0.6111111111111112,4
1039,2021-04-25,16,23,0.6956521739130435,5
1039,2021-05-02,16,18,0.8888888888888888,6
1039,2021-05-09,13,18,0.7222222222222222,7
1039,2021-05-16,10,15,0.6666666666666666,8
1039,2021-05-23,15,19,0.7894736842105263,9
1039,2021-05-30,6,8,0.75,10
1041,2021-03-28,0,1,0,1
1041,2021-04-04,4,5,0.8,2
1041,2021-04-11,8,8,1,3
1041,2021-04-18,6,6,1,4
1041,2021-04-25,6,6,1,5
1041,2021-05-02,3,6,0.5,6
1041,2021-05-09,0,1,0,7
1041,2021-05-16,2,5,0.4,8
1041,2021-05-23,0,4,0,9
1041,2021-05-30,1,1,1,10
1043,2021-03-28,7,16,0.4375,1
1043,2021-04-04,13,32,0.40625,2
1043,2021-04-11,20,37,0.5405405405405406,3
1043,2021-04-18,12,29,0.41379310344827586,4
1043,2021-04-25,15,22,0.6818181818181818,5
1043,2021-05-02,14,24,0.5833333333333334,6
1043,2021-05-09,17,25,0.68,7
1043,2021-05-16,21,32,0.65625,8
1043,2021-05-23,14,34,0.4117647058823529,9
1043,2021-05-30,1,4,0.25,10
1045,2021-03-28,4,13,0.3076923076923077,1
1045,2021-04-04,27,45,0.6,2
1045,2021-04-11,13,33,0.3939393939393939,3
1045,2021-04-18,20,26,0.7692307692307693,4
1045,2021-04-25,15,20,0.75,5
1045,2021-05-02,18,28,0.6428571428571429,6
1045,2021-05-09,17,27,0.6296296296296297,7
1045,2021-05-16,21,27,0.7777777777777778,8
1045,2021-05-23,8,18,0.4444444444444444,9
1045,2021-05-30,3,10,0.3,10
1047,2021-03-28,4,4,1,1
1047,2021-04-04,1,8,0.125,2
1047,2021-04-11,3,9,0.3333333333333333,3
1047,2021-04-18,4,4,1,4
1047,2021-04-25,7,13,0.5384615384615384,5
1047,2021-05-02,4,4,1,6
1047,2021-05-09,4,8,0.5,7
1047,2021-05-16,9,10,0.9,8
1047,2021-05-23,5,5,1,9
1047,2021-05-30,0,3,0,10
1049,2021-03-28,1,13,0.07692307692307693,1
1049,2021-04-04,5,21,0.23809523809523808,2
1049,2021-04-11,8,23,0.34782608695652173,3
1049,2021-04-18,14,26,0.5384615384615384,4
1049,2021-04-25,9,28,0.32142857142857145,5
1049,2021-05-02,21,21,1,6
1049,2021-05-09,4,20,0.2,7
1049,2021-05-16,5,10,0.5,8
1049,2021-05-23,14,26,0.5384615384615384,9
1049,2021-05-30,0,4,0,10
1051,2021-03-28,14,21,0.6666666666666666,1
1051,2021-04-04,25,65,0.38461538461538464,2
1051,2021-04-11,34,61,0.5573770491803278,3
1051,2021-04-18,34,51,0.6666666666666666,4
1051,2021-04-25,36,51,0.7058823529411765,5
1051,2021-05-02,30,46,0.6521739130434783,6
1051,2021-05-09,16,45,0.35555555555555557,7
1051,2021-05-16,25,44,0.5681818181818182,8
1051,2021-05-23,19,41,0.4634146341463415,9
1051,2021-05-30,7,12,0.5833333333333334,10
1053,2021-03-28,4,6,0.6666666666666666,1
1053,2021-04-04,3,15,0.2,2
1053,2021-04-11,9,23,0.391304347826087,3
1053,2021-04-18,15,20,0.75,4
1053,2021-04-25,9,17,0.5294117647058824,5
1053,2021-05-02,3,7,0.42857142857142855,6
1053,2021-05-09,3,7,0.42857142857142855,7
1053,2021-05-16,13,15,0.8666666666666667,8
1053,2021-05-23,8,13,0.6153846153846154,9
1053,2021-05-30,6,6,1,10
1055,2021-03-28,7,15,0.4666666666666667,1
1055,2021-04-04,23,46,0.5,2
1055,2021-04-11,22,43,0.5116279069767442,3
1055,2021-04-18,33,51,0.6470588235294118,4
1055,2021-04-25,25,37,0.6756756756756757,5
1055,2021-05-02,26,36,0.7222222222222222,6
1055,2021-05-09,20,37,0.5405405405405406,7
1055,2021-05-16,29,32,0.90625,8
1055,2021-05-23,22,34,0.6470588235294118,9
1055,2021-05-30,5,10,0.5,10
1057,2021-03-28,4,4,1,1
1057,2021-04-04,0,6,0,2
1057,2021-04-11,5,12,0.4166666666666667,3
1057,2021-04-18,5,5,1,4
1057,2021-04-25,3,4,0.75,5
1057,2021-05-02,4,8,0.5,6
1057,2021-05-09,0,2,0,7
1057,2021-05-16,5,7,0.7142857142857143,8
1057,2021-05-23,2,2,1,9
1057,2021-05-30,0,1,0,10
1059,2021-03-28,0,7,0,1
1059,2021-04-04,1,11,0.09090909090909091,2
1059,2021-04-11,4,16,0.25,3
1059,2021-04-18,6,6,1,4
1059,2021-04-25,10,14,0.7142857142857143,5
1059,2021-05-02,4,4,1,6
1059,2021-05-09,1,4,0.25,7
1059,2021-05-16,0,6,0,8
1059,2021-05-23,6,6,1,9
1059,2021-05-30,3,5,0.6,10
1061,2021-03-28,1,9,0.1111111111111111,1
1061,2021-04-04,11,15,0.7333333333333333,2
1061,2021-04-11,4,12,0.3333333333333333,3
1061,2021-04-18,6,13,0.46153846153846156,4
1061,2021-04-25,2,10,0.2,5
1061,2021-05-02,12,12,1,6
1061,2021-05-09,5,10,0.5,7
1061,2021-05-16,13,14,0.9285714285714286,8
1061,2021-05-23,1,12,0.08333333333333333,9
1061,2021-05-30,4,4,1,10
1063,2021-03-28,0,1,0,1
1063,2021-04-04,0,2,0,2
1063,2021-04-11,1,2,0.5,3
1063,2021-04-18,1,1,1,4
1063,2021-04-25,3,3,1,5
1063,2021-05-02,2,2,1,6
1063,2021-05-09,3,3,1,7
1063,2021-05-16,3,4,0.75,8
1063,2021-05-23,1,1,1,9
1063,2021-05-30,1,1,1,10
1065,2021-03-28,4,6,0.6666666666666666,1
1065,2021-04-04,0,9,0,2
1065,2021-04-11,5,9,0.5555555555555556,3
1065,2021-04-18,8,12,0.6666666666666666,4
1065,2021-04-25,0,6,0,5
1065,2021-05-02,2,2,1,6
1065,2021-05-09,5,5,1,7
1065,2021-05-16,1,5,0.2,8
1065,2021-05-23,5,5,1,9
1067,2021-03-28,6,6,1,1
1067,2021-04-04,9,13,0.6923076923076923,2
1067,2021-04-11,7,7,1,3
1067,2021-04-18,6,8,0.75,4
1067,2021-04-25,2,7,0.2857142857142857,5
1067,2021-05-02,5,11,0.45454545454545453,6
1067,2021-05-09,2,8,0.25,7
1067,2021-05-16,4,4,1,8
1067,2021-05-23,7,12,0.5833333333333334,9
1067,2021-05-30,4,4,1,10
1069,2021-03-28,23,38,0.6052631578947368,1
1069,2021-04-04,43,77,0.5584415584415584,2
1069,2021-04-11,55,93,0.5913978494623656,3
1069,2021-04-18,53,70,0.7571428571428571,4
1069,2021-04-25,47,67,0.7014925373134329,5
1069,2021-05-02,32,56,0.5714285714285714,6
1069,2021-05-09,30,54,0.5555555555555556,7
1069,2021-05-16,37,57,0.6491228070175439,8
1069,2021-05-23,35,58,0.603448275862069,9
1069,2021-05-30,11,19,0.5789473684210527,10
1071,2021-03-28,5,8,0.625,1
1071,2021-04-04,21,31,0.6774193548387096,2
1071,2021-04-11,22,43,0.5116279069767442,3
1071,2021-04-18,23,39,0.5897435897435898,4
1071,2021-04-25,18,26,0.6923076923076923,5
1071,2021-05-02,13,26,0.5,6
1071,2021-05-09,22,38,0.5789473684210527,7
1071,2021-05-16,15,25,0.6,8
1071,2021-05-23,17,26,0.6538461538461539,9
1071,2021-05-30,5,5,1,10
1073,2021-03-28,85,122,0.6967213114754098,1
1073,2021-04-04,152,243,0.6255144032921811,2
1073,2021-04-11,169,269,0.6282527881040892,3
1073,2021-04-18,201,255,0.788235294117647,4
1073,2021-04-25,128,191,0.6701570680628273,5
1073,2021-05-02,147,208,0.7067307692307693,6
1073,2021-05-09,152,208,0.7307692307692307,7
1073,2021-05-16,132,190,0.6947368421052632,8
1073,2021-05-23,167,194,0.8608247422680413,9
1073,2021-05-30,52,68,0.7647058823529411,10
1075,2021-03-28,3,4,0.75,1
1075,2021-04-04,5,10,0.5,2
1075,2021-04-11,4,7,0.5714285714285714,3
1075,2021-04-18,3,3,1,4
1075,2021-04-25,7,10,0.7,5
1075,2021-05-02,2,2,1,6
1075,2021-05-09,4,13,0.3076923076923077,7
1075,2021-05-16,6,6,1,8
1075,2021-05-23,2,6,0.3333333333333333,9
1075,2021-05-30,1,4,0.25,10
1077,2021-03-28,1,16,0.0625,1
1077,2021-04-04,27,49,0.5510204081632653,2
1077,2021-04-11,26,32,0.8125,3
1077,2021-04-18,15,27,0.5555555555555556,4
1077,2021-04-25,18,34,0.5294117647058824,5
1077,2021-05-02,28,39,0.717948717948718,6
1077,2021-05-09,19,32,0.59375,7
1077,2021-05-16,22,26,0.8461538461538461,8
1077,2021-05-23,26,35,0.7428571428571429,9
1077,2021-05-30,6,8,0.75,10
1079,2021-03-28,4,5,0.8,1
1079,2021-04-04,2,13,0.15384615384615385,2
1079,2021-04-11,8,10,0.8,3
1079,2021-04-18,6,9,0.6666666666666666,4
1079,2021-04-25,9,13,0.6923076923076923,5
1079,2021-05-02,2,6,0.3333333333333333,6
1079,2021-05-09,3,8,0.375,7
1079,2021-05-16,6,7,0.8571428571428571,8
1079,2021-05-23,0,7,0,9
1079,2021-05-30,0,1,0,10
1081,2021-03-28,21,37,0.5675675675675675,1
1081,2021-04-04,49,69,0.7101449275362319,2
1081,2021-04-11,55,83,0.6626506024096386,3
1081,2021-04-18,51,64,0.796875,4
1081,2021-04-25,51,70,0.7285714285714285,5
1081,2021-05-02,46,58,0.7931034482758621,6
1081,2021-05-09,25,51,0.49019607843137253,7
1081,2021-05-16,39,51,0.7647058823529411,8
1081,2021-05-23,20,49,0.40816326530612246,9
1081,2021-05-30,14,22,0.6363636363636364,10
1083,2021-03-28,8,28,0.2857142857142857,1
1083,2021-04-04,36,76,0.47368421052631576,2
1083,2021-04-11,49,78,0.6282051282051282,3
1083,2021-04-18,51,67,0.7611940298507462,4
1083,2021-04-25,43,50,0.86,5
1083,2021-05-02,35,62,0.5645161290322581,6
1083,2021-05-09,29,51,0.5686274509803921,7
1083,2021-05-16,22,30,0.7333333333333333,8
1083,2021-05-23,35,48,0.7291666666666666,9
1083,2021-05-30,6,16,0.375,10
1085,2021-03-28,1,2,0.5,1
1085,2021-04-04,4,5,0.8,2
1085,2021-04-11,2,2,1,3
1085,2021-04-18,7,11,0.6363636363636364,4
1085,2021-04-25,5,5,1,5
1085,2021-05-02,3,3,1,6
1085,2021-05-09,1,5,0.2,7
1085,2021-05-16,2,3,0.6666666666666666,8
1085,2021-05-23,4,5,0.8,9
1087,2021-03-28,5,6,0.8333333333333334,1
1087,2021-04-04,2,10,0.2,2
1087,2021-04-11,6,7,0.8571428571428571,3
1087,2021-04-18,1,7,0.14285714285714285,4
1087,2021-04-25,1,1,1,5
1087,2021-05-02,5,5,1,6
1087,2021-05-09,4,4,1,7
1087,2021-05-16,3,6,0.5,8
1087,2021-05-23,7,7,1,9
1087,2021-05-30,2,2,1,10
1089,2021-03-28,75,120,0.625,1
1089,2021-04-04,201,351,0.5726495726495726,2
1089,2021-04-11,225,350,0.6428571428571429,3
1089,2021-04-18,282,375,0.752,4
1089,2021-04-25,198,272,0.7279411764705882,5
1089,2021-05-02,216,278,0.7769784172661871,6
1089,2021-05-09,190,223,0.852017937219731,7
1089,2021-05-16,212,271,0.7822878228782287,8
1089,2021-05-23,186,233,0.7982832618025751,9
1089,2021-05-30,56,72,0.7777777777777778,10
1091,2021-03-28,4,7,0.5714285714285714,1
1091,2021-04-04,4,7,0.5714285714285714,2
1091,2021-04-11,8,10,0.8,3
1091,2021-04-18,4,6,0.6666666666666666,4
1091,2021-04-25,3,4,0.75,5
1091,2021-05-02,3,6,0.5,6
1091,2021-05-09,6,6,1,7
1091,2021-05-16,7,7,1,8
1091,2021-05-23,1,6,0.16666666666666666,9
1091,2021-05-30,5,5,1,10
1093,2021-03-28,2,3,0.6666666666666666,1
1093,2021-04-04,1,10,0.1,2
1093,2021-04-11,1,9,0.1111111111111111,3
1093,2021-04-18,8,11,0.7272727272727273,4
1093,2021-04-25,12,12,1,5
1093,2021-05-02,8,9,0.8888888888888888,6
1093,2021-05-09,3,4,0.75,7
1093,2021-05-16,5,13,0.38461538461538464,8
1093,2021-05-23,3,4,0.75,9
1093,2021-05-30,2,3,0.6666666666666666,10
1095,2021-03-28,22,30,0.7333333333333333,1
1095,2021-04-04,30,63,0.47619047619047616,2
1095,2021-04-11,29,58,0.5,3
1095,2021-04-18,28,49,0.5714285714285714,4
1095,2021-04-25,23,51,0.45098039215686275,5
1095,2021-05-02,20,42,0.47619047619047616,6
1095,2021-05-09,25,48,0.5208333333333334,7
1095,2021-05-16,22,31,0.7096774193548387,8
1095,2021-05-23,35,51,0.6862745098039216,9
1095,2021-05-30,2,11,0.18181818181818182,10
1097,2021-03-28,94,137,0.6861313868613139,1
1097,2021-04-04,185,314,0.589171974522293,2
1097,2021-04-11,170,290,0.5862068965517241,3
1097,2021-04-18,154,260,0.5923076923076923,4
1097,2021-04-25,129,215,0.6,5
1097,2021-05-02,149,211,0.7061611374407583,6
1097,2021-05-09,135,187,0.7219251336898396,7
1097,2021-05-16,132,199,0.6633165829145728,8
1097,2021-05-23,102,193,0.5284974093264249,9
1097,2021-05-30,64,73,0.8767123287671232,10
1099,2021-03-28,0,3,0,1
1099,2021-04-04,9,9,1,2
1099,2021-04-11,3,4,0.75,3
1099,2021-04-18,0,17,0,4
1099,2021-04-25,8,8,1,5
1099,2021-05-02,6,9,0.6666666666666666,6
1099,2021-05-09,5,11,0.45454545454545453,7
1099,2021-05-16,0,5,0,8
1099,2021-05-23,0,9,0,9
1099,2021-05-30,2,2,1,10
1101,2021-03-28,42,63,0.6666666666666666,1
1101,2021-04-04,91,143,0.6363636363636364,2
1101,2021-04-11,79,143,0.5524475524475524,3
1101,2021-04-18,122,159,0.7672955974842768,4
1101,2021-04-25,100,143,0.6993006993006993,5
1101,2021-05-02,82,113,0.7256637168141593,6
1101,2021-05-09,77,108,0.7129629629629629,7
1101,2021-05-16,90,118,0.7627118644067796,8
1101,2021-05-23,75,94,0.7978723404255319,9
1101,2021-05-30,24,34,0.7058823529411765,10
1103,2021-03-28,12,33,0.36363636363636365,1
1103,2021-04-04,33,73,0.4520547945205479,2
1103,2021-04-11,46,72,0.6388888888888888,3
1103,2021-04-18,43,65,0.6615384615384615,4
1103,2021-04-25,56,82,0.6829268292682927,5
1103,2021-05-02,42,57,0.7368421052631579,6
1103,2021-05-09,37,60,0.6166666666666667,7
1103,2021-05-16,32,67,0.47761194029850745,8
1103,2021-05-23,39,63,0.6190476190476191,9
1103,2021-05-30,14,19,0.7368421052631579,10
1105,2021-03-28,1,1,1,1
1105,2021-04-04,3,3,1,2
1105,2021-04-18,3,3,1,4
1105,2021-04-25,2,2,1,5
1105,2021-05-02,0,4,0,6
1105,2021-05-09,2,3,0.6666666666666666,7
1105,2021-05-23,2,2,1,9
1107,2021-04-04,6,6,1,2
1107,2021-04-11,4,4,1,3
1107,2021-04-18,5,8,0.625,4
1107,2021-04-25,3,7,0.42857142857142855,5
1107,2021-05-02,6,6,1,6
1107,2021-05-09,4,4,1,7
1107,2021-05-16,5,7,0.7142857142857143,8
1107,2021-05-23,3,3,1,9
1107,2021-05-30,1,1,1,10
1109,2021-03-28,5,9,0.5555555555555556,1
1109,2021-04-04,7,15,0.4666666666666667,2
1109,2021-04-11,13,15,0.8666666666666667,3
1109,2021-04-18,10,21,0.47619047619047616,4
1109,2021-04-25,8,18,0.4444444444444444,5
1109,2021-05-02,6,14,0.42857142857142855,6
1109,2021-05-09,7,17,0.4117647058823529,7
1109,2021-05-16,2,12,0.16666666666666666,8
1109,2021-05-23,9,9,1,9
1109,2021-05-30,0,1,0,10
1111,2021-03-28,3,5,0.6,1
1111,2021-04-04,9,9,1,2
1111,2021-04-11,2,2,1,3
1111,2021-04-18,5,9,0.5555555555555556,4
1111,2021-04-25,5,6,0.8333333333333334,5
1111,2021-05-02,4,5,0.8,6
1111,2021-05-09,1,2,0.5,7
1111,2021-05-16,2,5,0.4,8
1111,2021-05-23,5,6,0.8333333333333334,9
1111,2021-05-30,0,2,0,10
1113,2021-03-28,12,17,0.7058823529411765,1
1113,2021-04-04,15,42,0.35714285714285715,2
1113,2021-04-11,21,42,0.5,3
1113,2021-04-18,12,36,0.3333333333333333,4
1113,2021-04-25,11,26,0.4230769230769231,5
1113,2021-05-02,13,33,0.3939393939393939,6
1113,2021-05-09,19,33,0.5757575757575758,7
1113,2021-05-16,13,25,0.52,8
1113,2021-05-23,16,32,0.5,9
1113,2021-05-30,5,6,0.8333333333333334,10
1115,2021-03-28,2,11,0.18181818181818182,1
1115,2021-04-04,9,34,0.2647058823529412,2
1115,2021-04-11,20,30,0.6666666666666666,3
1115,2021-04-18,14,31,0.45161290322580644,4
1115,2021-04-25,8,25,0.32,5
1115,2021-05-02,21,31,0.6774193548387096,6
1115,2021-05-09,20,24,0.8333333333333334,7
1115,2021-05-16,19,22,0.8636363636363636,8
1115,2021-05-23,10,19,0.5263157894736842,9
1115,2021-05-30,1,4,0.25,10
1117,2021-03-28,27,39,0.6923076923076923,1
1117,2021-04-04,62,86,0.7209302325581395,2
1117,2021-04-11,55,73,0.7534246575342466,3
1117,2021-04-18,50,72,0.6944444444444444,4
1117,2021-04-25,71,93,0.7634408602150538,5
1117,2021-05-02,46,62,0.7419354838709677,6
1117,2021-05-09,63,68,0.9264705882352942,7
1117,2021-05-16,46,67,0.6865671641791045,8
1117,2021-05-23,72,86,0.8372093023255814,9
1117,2021-05-30,8,15,0.5333333333333333,10
1119,2021-03-28,5,5,1,1
1119,2021-04-04,0,5,0,2
1119,2021-04-11,3,7,0.42857142857142855,3
1119,2021-04-18,6,6,1,4
1119,2021-04-25,6,6,1,5
1119,2021-05-02,3,4,0.75,6
1119,2021-05-09,3,4,0.75,7
1119,2021-05-16,3,4,0.75,8
1119,2021-05-23,2,2,1,9
1121,2021-03-28,6,16,0.375,1
1121,2021-04-04,15,23,0.6521739130434783,2
1121,2021-04-11,23,32,0.71875,3
1121,2021-04-18,9,22,0.4090909090909091,4
1121,2021-04-25,10,18,0.5555555555555556,5
1121,2021-05-02,12,18,0.6666666666666666,6
1121,2021-05-09,10,19,0.5263157894736842,7
1121,2021-05-16,8,12,0.6666666666666666,8
1121,2021-05-23,15,29,0.5172413793103449,9
1121,2021-05-30,5,9,0.5555555555555556,10
1123,2021-03-28,3,3,1,1
1123,2021-04-04,3,14,0.21428571428571427,2
1123,2021-04-11,9,17,0.5294117647058824,3
1123,2021-04-18,8,12,0.6666666666666666,4
1123,2021-04-25,8,13,0.6153846153846154,5
1123,2021-05-02,2,10,0.2,6
1123,2021-05-09,6,6,1,7
1123,2021-05-16,12,12,1,8
1123,2021-05-23,4,6,0.6666666666666666,9
1123,2021-05-30,2,2,1,10
1125,2021-03-28,32,67,0.47761194029850745,1
1125,2021-04-04,60,122,0.4918032786885246,2
1125,2021-04-11,89,116,0.7672413793103449,3
1125,2021-04-18,70,129,0.5426356589147286,4
1125,2021-04-25,58,95,0.6105263157894737,5
1125,2021-05-02,57,106,0.5377358490566038,6
1125,2021-05-09,73,106,0.6886792452830188,7
1125,2021-05-16,61,82,0.7439024390243902,8
1125,2021-05-23,79,105,0.7523809523809524,9
1125,2021-05-30,7,22,0.3181818181818182,10
1127,2021-03-28,4,18,0.2222222222222222,1
1127,2021-04-04,10,23,0.43478260869565216,2
1127,2021-04-11,24,29,0.8275862068965517,3
1127,2021-04-18,18,26,0.6923076923076923,4
1127,2021-04-25,13,19,0.6842105263157895,5
1127,2021-05-02,8,17,0.47058823529411764,6
1127,2021-05-09,9,22,0.4090909090909091,7
