fips,NAME,all_18up,prop_18to24,prop_25to34,prop_35to44,prop_45to54,prop_55to64,prop_65to74,prop_75up,prop_male,prop_female,prop_lt_hs,prop_hs,prop_lt_coll,prop_2yrcoll,prop_4yrcoll,prop_gt_coll,prop_hisp,prop_white,prop_black,prop_asian,prop_aiannhpi,prop_multother,prop_notraking
30061,"Mineral County, Montana",3451,0.07910750507099391,0.10055056505360765,0.11156186612576065,0.14314691393798898,0.22370327441321355,0.21095334685598377,0.13097652854245145,0.5268038249782672,0.47319617502173283,0.1028687337003767,0.3937988988698928,0.24224862358736599,0.10113010721529991,0.10837438423645321,0.05157925239061142,0.019235336024697222,0.9149845642365234,7.124198527665638e-4,0.014485870339586796,0.025409641415340776,0.025172168131085252,0.05058180954642603
30069,"Petroleum County, Montana",346,0.023121387283236993,0.1329479768786127,0.10404624277456648,0.19653179190751446,0.30057803468208094,0.08670520231213873,0.15606936416184972,0.48554913294797686,0.5144508670520231,0.011560693641618497,0.40173410404624277,0.17052023121387283,0.11560693641618497,0.20809248554913296,0.09248554913294797,0,0.9814814814814815,0,0.018518518518518517,0,0,0
30077,"Powell County, Montana",5854,0.09941920054663478,0.14724974376494704,0.1604031431499829,0.18380594465322855,0.1810727707550393,0.1325589340621797,0.0954902630679877,0.6484455073454048,0.35155449265459515,0.12931329005807995,0.38332763922104546,0.23112401776563035,0.06627946703108985,0.11598906730440724,0.07396651861974718,0.018947675265996212,0.8970995481708206,0.0034980323567993005,0.004955545838799009,0.04081037749599184,0.034688820871593064,0.0754991983675849
30089,"Sanders County, Montana",9454,0.06960016924053311,0.09107256187856992,0.11000634651999154,0.1418447218108737,0.23577321768563572,0.21958959170721387,0.13211339115718215,0.5086735773217685,0.49132642267823146,0.12502644383329808,0.4275438967632748,0.2126084197165221,0.07478316056695579,0.12449756716733658,0.03554051195261265,0.028382952868674594,0.9020918323062235,0.0016491623990973006,0.005121083239302144,0.03428521829702283,0.028469750889679714,0.06275496918670255
30109,"Wibaux County, Montana",839,0.03814064362336114,0.15137067938021453,0.07747318235995232,0.2586412395709178,0.18116805721096543,0.16209773539928488,0.13110846245530394,0.48152562574493446,0.5184743742550656,0.12276519666269368,0.41835518474374256,0.17163289630512515,0.07985697258641239,0.1835518474374255,0.023837902264600714,0.04170212765957447,0.9514893617021276,0,0.003404255319148936,0.003404255319148936,0,0.003404255319148936
30031,"Gallatin County, Montana",83509,0.2027326395957322,0.1998227735932654,0.16761067669353003,0.1372666419188351,0.1450981331353507,0.09319953537942018,0.05426959968386641,0.5196924882348011,0.480307511765199,0.03430767941179993,0.19896059107401598,0.29217210121064796,0.05787400160461747,0.27813768575842124,0.13854794094049744,0.03606450935271033,0.9178451049852476,0.0033515072234051695,0.013940742296785035,0.007247276303602631,0.021550859838249194,0.028798136141851827
48409,"San Patricio County, Texas",48848,0.12512283000327545,0.18266868653783164,0.17048804454634786,0.1653701277432034,0.15935145758270552,0.11789633147723551,0.0791025221094006,0.49701113658696366,0.5029888634130364,0.2016049787094661,0.3444972158532591,0.25116688503111695,0.06858008516213561,0.09290042581067802,0.04125040943334425,0.5739790591534171,0.38827073949228885,0.014959878292515586,0.01000805417176267,0.001953882409092265,0.010828386480923545,0.01278226889001581
48381,"Randall County, Texas",100527,0.1350482954828056,0.19247565330707173,0.16725854745491261,0.15559004048663544,0.16147900564027576,0.10962229052891263,0.07852616709938623,0.48509355695484796,0.5149064430451521,0.0863151193211774,0.22776965392382145,0.3060968694977469,0.09403443850905727,0.1970216956638515,0.0887622230843455,0.20892998678996036,0.7247707114549915,0.028126061521041707,0.016320060388752593,0.003578033591243631,0.01827514625401019,0.021853179845253822
48411,"San Saba County, Texas",4744,0.10645025295109613,0.16020236087689713,0.16209949409780774,0.12521079258010118,0.16315345699831366,0.1572512647554806,0.12563237774030353,0.5202360876897133,0.4797639123102867,0.2561129848229342,0.35708263069139967,0.22280775716694773,0.030564924114671165,0.09569983136593592,0.037731871838111296,0.3002348205300235,0.6450855417645086,0.02247567930224757,5.031868500503186e-4,0,0.031700771553170075,0.031700771553170075
48413,"Schleicher County, Texas",2219,0.09824245155475439,0.21225777377196936,0.13068949977467328,0.15502478593961244,0.18521856692203695,0.12663361874718343,0.09193330328977016,0.5002253267237494,0.4997746732762506,0.20459666516448852,0.25326723749436686,0.3010365029292474,0.05903560162235241,0.1491662911221271,0.032897701667417754,0.5236850702384842,0.47174126102580854,0.004246978111728194,0,0,3.266906239790918e-4,3.266906239790918e-4
48507,"Zavala County, Texas",8548,0.16366401497426297,0.17302292934019653,0.16612072999532054,0.15839962564342536,0.14401029480580252,0.1116050538137576,0.08317735142723444,0.5099438465138044,0.4900561534861956,0.3405474964904071,0.3146934955545157,0.178872250818905,0.08001871782873186,0.060949929808142254,0.024918109499298083,0.9374330228340615,0.04962492787074437,0.0049460061000741904,3.29733740004946e-4,0,0.007666309455114995,0.007666309455114995
48057,"Calhoun County, Texas",16361,0.11527412749831917,0.17083307866267344,0.1546360246928672,0.1669824582849459,0.16802151457734857,0.12688710958987837,0.09736568669396736,0.5070594706925005,0.49294052930749954,0.20108795305910396,0.3547460424179451,0.2373938023348206,0.07126703746714748,0.09235376810708391,0.043151396613898906,0.4844316045306553,0.4271105608290916,0.024212408859540513,0.045765121291328474,9.171366992250195e-4,0.017563167790159123,0.018480304489384144
