fips,month,successes,trials,comm_mask_prop_most
1037,2020-11-01,5,5,1
1037,2020-12-01,17,27,0.6296296296296297
1037,2021-01-01,13,22,0.5909090909090909
1037,2021-02-01,15,19,0.7894736842105263
1037,2021-03-01,9,24,0.375
1037,2021-04-01,12,18,0.6666666666666666
1037,2021-05-01,2,8,0.25
1039,2020-11-01,7,29,0.2413793103448276
1039,2020-12-01,40,156,0.2564102564102564
1039,2021-01-01,38,154,0.24675324675324675
1039,2021-02-01,29,141,0.20567375886524822
1039,2021-03-01,27,126,0.21428571428571427
1039,2021-04-01,16,97,0.16494845360824742
1039,2021-05-01,14,63,0.2222222222222222
1041,2020-11-01,3,5,0.6
1041,2020-12-01,17,41,0.4146341463414634
1041,2021-01-01,31,45,0.6888888888888889
1041,2021-02-01,5,29,0.1724137931034483
1041,2021-03-01,14,26,0.5384615384615384
1041,2021-04-01,8,25,0.32
1041,2021-05-01,0,14,0
1043,2020-11-01,13,45,0.28888888888888886
1043,2020-12-01,84,201,0.417910447761194
1043,2021-01-01,80,213,0.3755868544600939
1043,2021-02-01,79,191,0.41361256544502617
1043,2021-03-01,47,140,0.3357142857142857
1043,2021-04-01,36,131,0.2748091603053435
1043,2021-05-01,14,93,0.15053763440860216
1045,2020-11-01,26,34,0.7647058823529411
1045,2020-12-01,110,194,0.5670103092783505
1045,2021-01-01,125,190,0.6578947368421053
1045,2021-02-01,74,146,0.5068493150684932
1045,2021-03-01,59,150,0.3933333333333333
1045,2021-04-01,50,129,0.3875968992248062
1045,2021-05-01,14,90,0.15555555555555556
1047,2020-11-01,6,6,1
1047,2020-12-01,59,81,0.7283950617283951
1047,2021-01-01,63,86,0.7325581395348837
1047,2021-02-01,30,49,0.6122448979591837
1047,2021-03-01,36,54,0.6666666666666666
1047,2021-04-01,25,37,0.6756756756756757
1047,2021-05-01,13,25,0.52
1049,2020-11-01,16,30,0.5333333333333333
1049,2020-12-01,59,173,0.34104046242774566
1049,2021-01-01,87,167,0.5209580838323353
1049,2021-02-01,46,129,0.35658914728682173
1049,2021-03-01,42,121,0.34710743801652894
1049,2021-04-01,15,106,0.14150943396226415
1049,2021-05-01,8,56,0.14285714285714285
1051,2020-11-01,39,74,0.527027027027027
1051,2020-12-01,259,412,0.6286407766990292
1051,2021-01-01,243,402,0.6044776119402985
1051,2021-02-01,173,298,0.5805369127516778
1051,2021-03-01,158,311,0.5080385852090032
1051,2021-04-01,86,237,0.3628691983122363
1051,2021-05-01,38,149,0.2550335570469799
1053,2020-11-01,1,20,0.05
1053,2020-12-01,53,102,0.5196078431372549
1053,2021-01-01,68,140,0.4857142857142857
1053,2021-02-01,45,97,0.4639175257731959
1053,2021-03-01,42,93,0.45161290322580644
1053,2021-04-01,25,75,0.3333333333333333
1053,2021-05-01,8,36,0.2222222222222222
1055,2020-11-01,20,50,0.4
1055,2020-12-01,145,277,0.5234657039711191
1055,2021-01-01,181,300,0.6033333333333334
1055,2021-02-01,133,199,0.6683417085427136
1055,2021-03-01,88,218,0.4036697247706422
1055,2021-04-01,52,181,0.287292817679558
1055,2021-05-01,20,128,0.15625
1057,2020-11-01,4,13,0.3076923076923077
1057,2020-12-01,39,58,0.6724137931034483
1057,2021-01-01,26,49,0.5306122448979592
1057,2021-02-01,22,39,0.5641025641025641
1057,2021-03-01,20,47,0.425531914893617
1057,2021-04-01,12,30,0.4
1057,2021-05-01,7,18,0.3888888888888889
1059,2020-11-01,3,14,0.21428571428571427
1059,2020-12-01,37,65,0.5692307692307692
1059,2021-01-01,21,75,0.28
1059,2021-02-01,18,36,0.5
1059,2021-03-01,18,65,0.27692307692307694
1059,2021-04-01,11,50,0.22
1059,2021-05-01,2,17,0.11764705882352941
1061,2020-11-01,7,14,0.5
1061,2020-12-01,38,99,0.3838383838383838
1061,2021-01-01,43,106,0.4056603773584906
1061,2021-02-01,43,97,0.44329896907216493
1061,2021-03-01,12,70,0.17142857142857143
1061,2021-04-01,19,54,0.35185185185185186
1061,2021-05-01,15,41,0.36585365853658536
1063,2020-11-01,3,3,1
1063,2020-12-01,19,24,0.7916666666666666
1063,2021-01-01,18,23,0.782608695652174
1063,2021-02-01,14,20,0.7
1063,2021-03-01,19,22,0.8636363636363636
1063,2021-04-01,5,8,0.625
1063,2021-05-01,4,9,0.4444444444444444
1065,2020-11-01,7,10,0.7
1065,2020-12-01,51,56,0.9107142857142857
1065,2021-01-01,51,64,0.796875
1065,2021-02-01,23,36,0.6388888888888888
1065,2021-03-01,21,26,0.8076923076923077
1065,2021-04-01,23,40,0.575
1065,2021-05-01,5,14,0.35714285714285715
1067,2020-11-01,5,7,0.7142857142857143
1067,2020-12-01,52,73,0.7123287671232876
1067,2021-01-01,43,74,0.581081081081081
1067,2021-02-01,20,53,0.37735849056603776
1067,2021-03-01,36,61,0.5901639344262295
1067,2021-04-01,16,38,0.42105263157894735
1067,2021-05-01,8,29,0.27586206896551724
1069,2020-11-01,48,96,0.5
1069,2020-12-01,257,489,0.5255623721881391
1069,2021-01-01,326,536,0.6082089552238806
1069,2021-02-01,243,412,0.5898058252427184
1069,2021-03-01,184,388,0.4742268041237113
1069,2021-04-01,129,325,0.39692307692307693
1069,2021-05-01,43,192,0.22395833333333334
1071,2020-11-01,12,37,0.32432432432432434
1071,2020-12-01,121,255,0.4745098039215686
1071,2021-01-01,118,247,0.4777327935222672
1071,2021-02-01,93,187,0.49732620320855614
1071,2021-03-01,67,175,0.38285714285714284
1071,2021-04-01,36,134,0.26865671641791045
1071,2021-05-01,13,104,0.125
1073,2020-11-01,183,246,0.7439024390243902
1073,2020-12-01,1204,1509,0.7978793903247183
1073,2021-01-01,1199,1572,0.7627226463104325
1073,2021-02-01,931,1209,0.7700578990901572
1073,2021-03-01,920,1234,0.7455429497568882
1073,2021-04-01,632,1023,0.6177908113391984
1073,2021-05-01,315,693,0.45454545454545453
1075,2020-11-01,7,9,0.7777777777777778
1075,2020-12-01,31,57,0.543859649122807
1075,2021-01-01,29,61,0.47540983606557374
1075,2021-02-01,21,31,0.6774193548387096
1075,2021-03-01,10,48,0.20833333333333334
1075,2021-04-01,10,33,0.30303030303030304
1075,2021-05-01,5,23,0.21739130434782608
1077,2020-11-01,28,41,0.6829268292682927
1077,2020-12-01,198,294,0.673469387755102
1077,2021-01-01,187,275,0.68
1077,2021-02-01,124,197,0.6294416243654822
1077,2021-03-01,107,215,0.49767441860465117
1077,2021-04-01,53,153,0.3464052287581699
1077,2021-05-01,13,114,0.11403508771929824
1079,2020-11-01,7,13,0.5384615384615384
1079,2020-12-01,51,81,0.6296296296296297
1079,2021-01-01,56,93,0.6021505376344086
1079,2021-02-01,36,50,0.72
1079,2021-03-01,27,54,0.5
1079,2021-04-01,22,46,0.4782608695652174
1079,2021-05-01,2,20,0.1
1081,2020-11-01,41,70,0.5857142857142857
1081,2020-12-01,236,366,0.644808743169399
1081,2021-01-01,310,446,0.695067264573991
1081,2021-02-01,256,362,0.7071823204419889
1081,2021-03-01,259,378,0.6851851851851852
1081,2021-04-01,138,313,0.44089456869009586
1081,2021-05-01,65,204,0.31862745098039214
1083,2020-11-01,70,82,0.8536585365853658
1083,2020-12-01,353,466,0.7575107296137339
1083,2021-01-01,314,432,0.7268518518518519
1083,2021-02-01,250,329,0.7598784194528876
1083,2021-03-01,210,297,0.7070707070707071
1083,2021-04-01,148,281,0.5266903914590747
1083,2021-05-01,61,164,0.3719512195121951
1085,2020-11-01,0,3,0
1085,2020-12-01,21,22,0.9545454545454546
1085,2021-01-01,27,29,0.9310344827586207
1085,2021-02-01,23,25,0.92
1085,2021-03-01,23,28,0.8214285714285714
1085,2021-04-01,14,25,0.56
1085,2021-05-01,5,11,0.45454545454545453
1087,2020-11-01,5,5,1
1087,2020-12-01,28,37,0.7567567567567568
1087,2021-01-01,41,54,0.7592592592592593
1087,2021-02-01,22,30,0.7333333333333333
