fips,month,successes,trials,mask_prop_most
1027,2021-05-01,6,10,0.6
1029,2020-09-01,6,14,0.42857142857142855
1029,2020-10-01,19,21,0.9047619047619048
1029,2020-11-01,11,18,0.6111111111111112
1029,2020-12-01,22,30,0.7333333333333333
1029,2021-01-01,28,34,0.8235294117647058
1029,2021-02-01,20,21,0.9523809523809523
1029,2021-03-01,27,28,0.9642857142857143
1029,2021-04-01,8,18,0.4444444444444444
1029,2021-05-01,5,9,0.5555555555555556
1031,2020-09-01,106,153,0.6928104575163399
1031,2020-10-01,156,180,0.8666666666666667
1031,2020-11-01,131,167,0.7844311377245509
1031,2020-12-01,193,229,0.8427947598253275
1031,2021-01-01,186,241,0.7717842323651453
1031,2021-02-01,120,161,0.7453416149068323
1031,2021-03-01,137,185,0.7405405405405405
1031,2021-04-01,105,137,0.7664233576642335
1031,2021-05-01,60,120,0.5
1033,2020-09-01,65,96,0.6770833333333334
1033,2020-10-01,89,118,0.7542372881355932
1033,2020-11-01,120,126,0.9523809523809523
1033,2020-12-01,140,154,0.9090909090909091
1033,2021-01-01,149,172,0.8662790697674418
1033,2021-02-01,96,121,0.7933884297520661
1033,2021-03-01,120,139,0.8633093525179856
1033,2021-04-01,88,108,0.8148148148148148
1033,2021-05-01,67,85,0.788235294117647
1035,2020-09-01,13,15,0.8666666666666667
1035,2020-10-01,14,17,0.8235294117647058
1035,2020-11-01,21,21,1
1035,2020-12-01,17,27,0.6296296296296297
1035,2021-01-01,32,33,0.9696969696969697
1035,2021-02-01,22,22,1
1035,2021-03-01,14,24,0.5833333333333334
1035,2021-04-01,15,20,0.75
1035,2021-05-01,9,14,0.6428571428571429
1037,2020-09-01,11,13,0.8461538461538461
1037,2020-10-01,6,11,0.5454545454545454
1037,2020-11-01,12,15,0.8
1037,2020-12-01,22,27,0.8148148148148148
1037,2021-01-01,18,22,0.8181818181818182
1037,2021-02-01,18,20,0.9
1037,2021-03-01,22,24,0.9166666666666666
1037,2021-04-01,11,18,0.6111111111111112
1037,2021-05-01,4,11,0.36363636363636365
1039,2020-09-01,72,107,0.6728971962616822
1039,2020-10-01,65,125,0.52
1039,2020-11-01,89,118,0.7542372881355932
1039,2020-12-01,104,152,0.6842105263157895
1039,2021-01-01,111,149,0.7449664429530202
1039,2021-02-01,119,147,0.8095238095238095
1039,2021-03-01,99,125,0.792
1039,2021-04-01,54,98,0.5510204081632653
1039,2021-05-01,39,77,0.5064935064935064
1041,2020-09-01,10,30,0.3333333333333333
1041,2020-10-01,16,33,0.48484848484848486
1041,2020-11-01,20,22,0.9090909090909091
1041,2020-12-01,34,40,0.85
1041,2021-01-01,28,43,0.6511627906976745
1041,2021-02-01,18,29,0.6206896551724138
1041,2021-03-01,22,26,0.8461538461538461
1041,2021-04-01,23,25,0.92
1041,2021-05-01,9,19,0.47368421052631576
1043,2020-09-01,71,115,0.6173913043478261
1043,2020-10-01,119,157,0.7579617834394905
1043,2020-11-01,117,141,0.8297872340425532
1043,2020-12-01,156,200,0.78
1043,2021-01-01,139,210,0.6619047619047619
1043,2021-02-01,162,193,0.8393782383419689
1043,2021-03-01,107,142,0.7535211267605634
1043,2021-04-01,75,133,0.5639097744360902
1043,2021-05-01,57,117,0.48717948717948717
1045,2020-09-01,103,138,0.7463768115942029
1045,2020-10-01,110,141,0.7801418439716312
1045,2020-11-01,109,119,0.9159663865546218
1045,2020-12-01,161,194,0.8298969072164949
1045,2021-01-01,149,191,0.7801047120418848
1045,2021-02-01,124,148,0.8378378378378378
1045,2021-03-01,124,152,0.8157894736842105
1045,2021-04-01,101,132,0.7651515151515151
1045,2021-05-01,58,108,0.5370370370370371
1047,2020-09-01,30,34,0.8823529411764706
1047,2020-10-01,23,43,0.5348837209302325
1047,2020-11-01,45,50,0.9
1047,2020-12-01,75,83,0.9036144578313253
1047,2021-01-01,82,90,0.9111111111111111
1047,2021-02-01,47,49,0.9591836734693877
1047,2021-03-01,54,58,0.9310344827586207
1047,2021-04-01,32,38,0.8421052631578947
1047,2021-05-01,26,30,0.8666666666666667
1049,2020-09-01,77,111,0.6936936936936937
1049,2020-10-01,85,104,0.8173076923076923
1049,2020-11-01,66,99,0.6666666666666666
1049,2020-12-01,137,169,0.8106508875739645
1049,2021-01-01,143,169,0.8461538461538461
1049,2021-02-01,100,129,0.7751937984496124
1049,2021-03-01,97,122,0.7950819672131147
1049,2021-04-01,78,108,0.7222222222222222
1049,2021-05-01,33,78,0.4230769230769231
1051,2020-09-01,186,246,0.7560975609756098
1051,2020-10-01,195,292,0.6678082191780822
1051,2020-11-01,177,246,0.7195121951219512
1051,2020-12-01,319,407,0.7837837837837838
1051,2021-01-01,364,406,0.896551724137931
1051,2021-02-01,257,302,0.8509933774834437
1051,2021-03-01,258,318,0.8113207547169812
1051,2021-04-01,189,240,0.7875
1051,2021-05-01,89,187,0.47593582887700536
1053,2020-09-01,56,74,0.7567567567567568
1053,2020-10-01,51,95,0.5368421052631579
1053,2020-11-01,52,76,0.6842105263157895
1053,2020-12-01,77,103,0.7475728155339806
1053,2021-01-01,126,144,0.875
1053,2021-02-01,79,97,0.8144329896907216
1053,2021-03-01,71,96,0.7395833333333334
1053,2021-04-01,51,78,0.6538461538461539
1053,2021-05-01,18,47,0.3829787234042553
1055,2020-09-01,131,174,0.7528735632183908
1055,2020-10-01,150,195,0.7692307692307693
1055,2020-11-01,176,207,0.8502415458937198
1055,2020-12-01,241,283,0.8515901060070671
1055,2021-01-01,263,299,0.8795986622073578
1055,2021-02-01,178,203,0.8768472906403941
1055,2021-03-01,181,225,0.8044444444444444
1055,2021-04-01,138,186,0.7419354838709677
1055,2021-05-01,70,152,0.4605263157894737
1057,2020-09-01,36,42,0.8571428571428571
1057,2020-10-01,24,36,0.6666666666666666
1057,2020-11-01,29,45,0.6444444444444445
1057,2020-12-01,51,60,0.85
1057,2021-01-01,47,49,0.9591836734693877
1057,2021-02-01,34,40,0.85
1057,2021-03-01,31,48,0.6458333333333334
1057,2021-04-01,22,30,0.7333333333333333
1057,2021-05-01,12,21,0.5714285714285714
1059,2020-09-01,38,50,0.76
1059,2020-10-01,55,75,0.7333333333333333
1059,2020-11-01,27,47,0.574468085106383
1059,2020-12-01,58,65,0.8923076923076924
1059,2021-01-01,65,72,0.9027777777777778
1059,2021-02-01,28,37,0.7567567567567568
1059,2021-03-01,59,65,0.9076923076923077
1059,2021-04-01,30,50,0.6
1059,2021-05-01,16,25,0.64
1061,2020-09-01,43,50,0.86
1061,2020-10-01,56,83,0.6746987951807228
1061,2020-11-01,53,67,0.7910447761194029
1061,2020-12-01,83,98,0.8469387755102041
1061,2021-01-01,89,101,0.8811881188118812
1061,2021-02-01,65,98,0.6632653061224489
1061,2021-03-01,47,70,0.6714285714285714
1061,2021-04-01,31,55,0.5636363636363636
1061,2021-05-01,19,48,0.3958333333333333
1063,2020-09-01,10,14,0.7142857142857143
1063,2020-10-01,11,11,1
1063,2020-11-01,10,10,1
1063,2020-12-01,21,26,0.8076923076923077
1063,2021-01-01,24,24,1
1063,2021-02-01,21,22,0.9545454545454546
1063,2021-03-01,22,22,1
1063,2021-04-01,8,8,1
1063,2021-05-01,11,12,0.9166666666666666
1065,2020-09-01,29,32,0.90625
1065,2020-10-01,30,36,0.8333333333333334
1065,2020-11-01,27,33,0.8181818181818182
1065,2020-12-01,54,58,0.9310344827586207
1065,2021-01-01,61,65,0.9384615384615385
1065,2021-02-01,36,38,0.9473684210526315
1065,2021-03-01,27,30,0.9
1065,2021-04-01,34,41,0.8292682926829268
1065,2021-05-01,17,18,0.9444444444444444
1067,2020-09-01,32,48,0.6666666666666666
1067,2020-10-01,52,60,0.8666666666666667
1067,2020-11-01,34,37,0.918918918918919
1067,2020-12-01,68,74,0.918918918918919
1067,2021-01-01,56,73,0.7671232876712328
1067,2021-02-01,38,54,0.7037037037037037
1067,2021-03-01,38,61,0.6229508196721312
1067,2021-04-01,29,39,0.7435897435897436
1067,2021-05-01,25,39,0.6410256410256411
1069,2020-09-01,256,326,0.7852760736196319
1069,2020-10-01,306,373,0.8203753351206434
