"fips","month","mask_grocery_very_prop","mask_grocery_some_prop","mask_grocery_very_suc","mask_grocery_some_suc","total_obs","mask_grocery_some_only_prop","mask_grocery_notso_only_prop","mask_grocery_notatall_only_prop"
1007,2020-09-01,0.715458719726297,0.718195732420994,4,4,4,0.00273701269469704,0,9.00333123255603e-05
1007,2020-10-01,0.340295909486509,0.457459259926172,3,4,4,0.117163350439663,0,0
1007,2020-11-01,0.435761231655712,0.734131628702618,2,4,4,0.298370397046906,0,0.00270099936976681
1007,2020-12-01,0.289524624110919,0.289884757360222,2,2,2,0.000360133249302242,0.00173314126226704,0
1007,2021-01-01,0.174799675880076,0.25227334113622,2,3,5,0.0774736652561448,0.0792068065184118,0.0210002700999369
1007,2021-02-01,0.422661384712342,0.426127667236876,3,3,3,0.00346628252453407,0,0
1007,2021-03-01,0.714455887139778,0.715522435608866,4,4,4,0.00106654846908741,0.00106654846908741,0.00106654846908741
1007,2021-04-01,0.47330512289547,0.860448365895379,2,4,4,0.387143242999908,0.00126046637255785,0
1007,2021-05-01,0.0223732781129018,0.0225083280813901,0,0,0,0.000135049968488341,0,0.000720266498604483
1007,2021-06-01,0.00661744845592869,0.0086431979832538,0,0,1,0.00202574952732511,0,0.323759791122715
1009,2020-06-01,0.490712902030497,0.686549108266611,11,14,18,0.195836206236114,0.123391174442657,0.0561988642848543
1009,2020-07-01,0.734976617141636,0.815981663832732,20,23,26,0.0810050466910958,0.0256481815893445,0.0923754735522144
1009,2020-08-01,0.653799146536447,0.738821547716054,19,21,24,0.0850224011796063,0.0256481815893445,0.0664394213003727
1009,2020-09-01,0.567211150146107,0.67647831368815,10,12,13,0.109267163542043,0,0.069458580950192
1009,2020-10-01,0.513042978625603,0.564607479397182,5,6,7,0.0515645007715796,0.153889089536067,0.00173194996224185
1009,2020-11-01,0.428713705661533,0.499764695581748,6,7,7,0.0710509899202153,0.00261570957962592,0
1009,2020-12-01,0.648389532783924,0.648389532783924,8,8,9,0,0.0661588468989066,0
1009,2021-01-01,0.894980354817173,0.895981766643682,16,16,17,0.0010014118265095,0.00196178218471944,0.0931914940188899
1009,2021-02-01,0.616508520208818,0.784844206586334,10,11,11,0.168335686377516,0,0
1009,2021-03-01,0.592976983944577,0.709918902058639,10,13,13,0.116941918114062,0.0294185244771317,0.00325048428932593
1009,2021-04-01,0.645795711987391,0.787707259414912,8,10,10,0.141911547427521,0.00441606198903371,0.0476507863545326
1009,2021-05-01,0.643431723413336,0.654983528690722,7,7,8,0.0115518052773856,0.106051154086088,0.0814645784767594
1009,2021-06-01,0.380168762517647,0.571493143338695,5,7,11,0.191324380821048,0.187270578192205,0.13321513390463
1011,2020-06-01,0.92878910563121,0.928862716231137,3,3,3,7.36105999263893e-05,2.94442399705557e-05,1.47221199852779e-05
1011,2020-07-01,0.869590283400809,0.86960971659919,2,2,2,1.94331983805668e-05,6.47773279352226e-06,1.94331983805668e-05
1011,2020-08-01,0.791326689504827,0.799651199003425,3,3,3,0.00832450949859856,1.24571784490813e-05,1.24571784490813e-05
