fips,month,successes,trials,comm_mask_prop_most,population,density,z_log10_density,.linpred,.linpred.lower,.linpred.upper,comm_p_est,comm_p_est.lower,comm_p_est.upper,.width
1001,2020-12-01,179,267,0.6704119850187266,55200,35.8534189940189,0.410434757488526,1.0206192492520336,1.0150738384084599,1.026204567427626,0.7350928150113557,0.7340119328645167,0.736179410700877,0.95
1003,2020-12-01,636,1161,0.5478036175710594,208107,50.5415035640023,0.6089150887852566,1.1249509961050959,1.119891244028383,1.129952142118009,0.7549055890045957,0.7539685427756369,0.755830066983888,0.95
1005,2020-12-01,37,76,0.4868421052631579,25782,11.247981205619,-0.25968148075823516,0.6683707555392505,0.6602311264969022,0.6766155603479398,0.6611376056185367,0.6593123059014894,0.6629829074303155,0.95
1007,2020-12-01,27,57,0.47368421052631576,22527,13.9731140005546,-0.13427344491761953,0.7342918438565714,0.7266637784970811,0.7420027366621567,0.6757457817251603,0.6740727352093991,0.6774336442732111,0.95
1009,2020-12-01,38,89,0.42696629213483145,57645,34.5158164233531,0.388456183594317,1.0090661497950715,1.0034385144049272,1.0147132206148644,0.7328369568793323,0.7317340942329729,0.7339415204767135,0.95
1011,2020-12-01,14,15,0.9333333333333332,10352,6.41761954967603,-0.5840548932993369,0.49786295488213,0.4883197948538216,0.50762309904316,0.6219562785220499,0.6197105391484028,0.6242491083162077,0.95
1013,2020-12-01,45,62,0.7258064516129032,20025,9.95277078503475,-0.33040000358031313,0.6311973642379983,0.6226770504298258,0.6397303933690378,0.6527602476114327,0.6508271567883023,0.6546925131164755,0.95
1015,2020-12-01,190,329,0.5775075987841946,115098,73.3486880019654,0.8242018485285892,1.238117089549275,1.2334302063846772,1.2428436832457739,0.7752358050749018,0.7744183766586568,0.7760586105902233,0.95
1017,2020-12-01,53,71,0.7464788732394366,33826,21.8926380821564,0.1252843879859907,0.8707291519732321,0.8642930133876832,0.8773837070476731,0.7048969003427132,0.7035568068243526,0.706279767698309,0.95
1019,2020-12-01,41,101,0.405940594059406,25853,18.0333282957246,0.013181900032570155,0.8118021624909881,0.8048617756586859,0.8189358808300059,0.6924928596492749,0.6910135003847023,0.6940104104667995,0.95
1021,2020-12-01,54,93,0.5806451612903226,43930,24.4806693894376,0.18987298949010184,0.9046803328166674,0.8984802467545541,0.9111250684045181,0.7119098914375892,0.7106370927702592,0.7132303313651347,0.95
1023,2020-12-01,27,33,0.8181818181818182,13075,5.52650860439243,-0.6704696653471783,0.4524387858334511,0.442502890160641,0.46258874812107215,0.6112182125822421,0.6088552575044058,0.6136281191889327,0.95
1025,2020-12-01,41,71,0.5774647887323944,24387,7.60313165232808,-0.4860662276839902,0.5493709737808173,0.5402501047789717,0.5586545643988506,0.6339889420703473,0.6318705965634654,0.6361411753287148,0.95
1027,2020-12-01,6,22,0.2727272727272727,13378,8.55233134503563,-0.41806111001404206,0.585118055998483,0.576319574477412,0.5940635319105555,0.642243533469971,0.6402201015149389,0.6442969644739179,0.95
1029,2020-12-01,11,32,0.34375,14938,10.2973539136845,-0.31072516565797115,0.6415394983732945,0.6331042124930625,0.6499797242377277,0.6551007252449906,0.6531929993598117,0.6570058935612534,0.95
1031,2020-12-01,141,230,0.6130434782608696,51288,29.1646729138119,0.2910764687966519,0.9578782276139844,0.9520127728766715,0.963920679196115,0.7226963582966187,0.7215197826995354,0.7239061033177985,0.95
1033,2020-12-01,85,153,0.5555555555555556,54495,35.4969499814872,0.40465869203661214,1.0175830441298501,1.0120174067539223,1.0231656500085569,0.7345011473753961,0.7334147733433651,0.7355887708640543,0.95
1035,2020-12-01,5,27,0.18518518518518515,12514,5.68299517064302,-0.6543289855785838,0.4609231797512332,0.45105442309453436,0.4709834911962595,0.6132324486237488,0.6108899032210405,0.615616509135053,0.95
1037,2020-12-01,17,27,0.6296296296296297,10855,6.43888528179168,-0.5821425724934745,0.49886817171603787,0.48933391354108075,0.5086190192250862,0.6221926027393427,0.6199495068462437,0.6244826845818104,0.95
1039,2020-12-01,40,156,0.2564102564102564,37351,13.9937034591157,-0.13342229729678023,0.7347392520079576,0.7271144271376894,0.7424471731167395,0.6758438073684727,0.6741717343544387,0.6775307536686787,0.95
1041,2020-12-01,17,41,0.4146341463414634,13865,8.79227330633629,-0.4020665448140335,0.5935256443805143,0.5848039195787629,0.6024033855179983,0.6441730009508542,0.6421720374581491,0.6462059702712777,0.95
1043,2020-12-01,84,201,0.417910447761194,82313,43.252675634723,0.5188904740526737,1.077629303051377,1.0723328181551215,1.0829072816706702,0.7460447336368561,0.745040300139014,0.7470437650272612,0.95
1045,2020-12-01,110,194,0.5670103092783505,49255,33.893125488288,0.37793233484135047,1.0035342589682017,0.9978848476700254,1.0092144506099123,0.7317524881684391,0.7306425112538906,0.7328663878203365,0.95
1047,2020-12-01,59,81,0.7283950617283951,40029,15.7910333786488,-0.06357253230863762,0.7714559782995609,0.7641565051511982,0.7789031276162658,0.6838351949238892,0.6822554750154628,0.6854436646930399,0.95
1049,2020-12-01,59,173,0.34104046242774566,71200,35.3757798349071,0.40268208731615174,1.0165440362746319,1.0109708202997152,1.0221271532539042,0.7342984814345029,0.7332100973493173,0.7353867359822865,0.95
1051,2020-12-01,259,412,0.6286407766990292,81212,50.7014402097701,0.6107414493164722,1.125911027677798,1.1208524591740274,1.1309067644217488,0.7550831738737386,0.7541468046343534,0.756006200433708,0.95
1053,2020-12-01,53,102,0.5196078431372549,37328,15.247648981167,-0.08381442854512532,0.7608157683594943,0.7534375967427536,0.7683522742564026,0.6815302399008386,0.6799272724790689,0.6831643498336767,0.95
